연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2016/01","삼호개발","010960","KOSPI","3415","3455","3150","2.079537","-0.719105",,,"0.013466756","44494.4599","0","880646","44032","2913309330","145665467"
"2016/01","풀무원","017810","KOSPI","194000","203000","174000","2.734587","7.861645",,,"0.000984849","7704.199","10","176404","8820","33767105000","1688355250"
"2016/01","HDC랩스","039570","KOSPI","34600","36550","34050","2.486423","3.116956",,,"0.002099549","35039.4105","5","507191","25360","17922489150","896124458"
"2016/01","한국화장품","123690","KOSPI","11900","12300","11100","2.488369","-0.493647",,,"0.000778955","137500.4769","15","4948088","247404","58338293300","2916914665"
"2016/01","서연이화","200880","KOSPI","14250","15150","13950","2.172139","-0.082106",,,"0.001442968","78215.9602","0","1655717","82786","23998537550","1199926878"
"2016/01","모나미","005360","KOSPI","4050","4480","3875","1.941776","-0.284653",,,"0.0019812","150608.6337","5","4300760","215038","18036335065","901816753"
"2016/01","제주은행","006220","KOSPI","8710","10000","7700","3.017644","-0.405139",,,"0.009452567","36277.8349","10","739932","36997","6295737490","314786875"
"2016/01","신대양제지","016590","KOSPI","22700","25050","22600","1.301648","-0.355372",,,"0.006070921","17122.0576","10","247472","12374","5778554950","288927748"
"2016/01","삼성E&A","028050","KOSPI","12650","13600","10350","5.55353","2.228398",,,"0.000168203","567088.4901","10","34233257","1711663","427001607200","21350080360"
"2016/01","새론오토모티브","075180","KOSPI","7950","8100","7830","1.379727","6.07769",,,"0.009765733","14570.6414","15","268051","13403","2127683660","106384183"
"2016/01","동양고속","084670","KOSPI","34450","35250","33750","1.169811","-0.678069",,,"0.023825126","3071.7635","0","31771","1589","1094645200","54732260"
"2016/01","LF","093050","KOSPI","25950","26100","24300","1.689079","1.453392",,,"0.000803342","82261.5422","15","1321264","66063","33452509550","1672625478"
"2016/01","보해양조","000890","KOSPI","1950","2140","1825","4.046083","0.275505",,,"0.000663728","1287180.5044","0","62995882","3149794","125920777145","6296038857"
"2016/01","KCC","002380","KOSPI","437500","437500","390500","2.555705","-1.062142",,,"0.000193613","16359.7271","0","525706","26285","215571823500","10778591175"
"2016/01","삼익악기","002450","KOSPI","3045","3450","2925","2.240489","-0.175686",,,"0.000826977","762148.433","0","13675312","683766","42818153150","2140907658"
"2016/01","유안타증권우","003475","KOSPI","2275","2615","2150","2.056222","0.346755",,,"0.074504263","15782.8188","5","238293","11915","551166895","27558345"
"2016/01","동부건설우","005965","KOSPI","20300","22750","10800","12.828963","0.575479",,,"0.011187524","14128.2288","20","2021350","101068","41079323300","2053966165"
