종목코드,종목명,자본
005930,삼성전자,366327566
000660,SK하이닉스,69571194
051910,LG화학,29084046
035420,NAVER,3977404
006400,삼성SDI,62585688
005380,현대차,55438232
028260,삼성물산,7204027
051900,LG생활건강,2227243
000270,기아차,26625972
012330,현대모비스,23352379
005490,POSCO,67756626
066570,LG전자,26617416
036570,엔씨소프트,5958949
017670,SK텔레콤,16014566
105560,KB금융,38395881
015760,한국전력,29316360
096770,SK이노베이션,21689453
034730,SK,3639065
055550,신한지주,25082856
032830,삼성생명,15979798
003550,LG,14802695
018260,삼성에스디에스,2889527
009150,삼성전기,12425680
090430,아모레퍼시픽,1204245
033780,KT&G,4474120
086790,하나금융지주,32369847
011170,롯데케미칼,7276935
000810,삼성화재,5449560
018880,한온시스템,2536330
010950,S-Oil,4122079
009540,한국조선해양,17452007
010130,고려아연,3966652
009830,한화솔루션,7581692
086280,현대글로비스,2643678
024110,기업은행,12557294
019170,신풍제약,6317441
034220,LG디스플레이,8620105
030200,KT,8826314
006800,미래에셋대우,7911412
097950,CJ제일제당,3134232
021240,코웨이,858437
032640,LG유플러스,4706590
004020,현대제철,12289426
000100,유한양행,2066233
035250,강원랜드,1653816
034020,두산중공업,9542636
008930,한미사이언스,292231
161390,한국타이어앤테크놀로지,3783471
003490,대한항공,5709041
006280,녹십자,1976972
002790,아모레G,796999
011200,HMM,3426941
010140,삼성중공업,9856000
011070,LG이노텍,3152735
128940,한미약품,316823
071050,한국금융지주,4114349
011780,금호석유,3944478
000720,현대건설,7190126
180640,한진칼,5650222
139480,이마트,5556825
029780,삼성카드,6723954
000120,CJ대한통운,1936125
016360,삼성증권,3884070
004990,롯데지주,2848689
011790,SKC,3524376
078930,GS,4307373
003410,쌍용양회,3145591
012750,에스원,754657
008770,호텔신라,761821
005830,DB손해보험,2151042
112610,씨에스윈드,2110050
005940,NH투자증권,4608580
000210,대림산업,4735082
003090,대웅,1911465
006360,GS건설,7048286
039490,키움증권,2019156
042660,대우조선해양,14698820
023530,롯데쇼핑,6589993
204320,만도,1878285
036460,한국가스공사,8149920
001040,CJ,1163291
007070,GS리테일,1078313
081660,휠라홀딩스,1525789
028670,팬오션,5963420
028050,삼성엔지니어링,2650000
004170,신세계,2710254
008560,메리츠증권,1640662
185750,종근당,903153
030000,제일기획,874483
047810,한국항공우주,342624
009240,한샘,152562
000080,하이트진로,1772822
000990,DB하이텍,429664
006260,LS,4257556
014680,한솔케미칼,674622
020150,일진머티리얼즈,1356672
010060,OCI,3465612
000880,한화,3119606
001450,현대해상,1495478
088350,한화생명,2863801
047040,대우건설,2327954
007310,오뚜기,411404
005250,녹십자홀딩스,661583
009420,한올바이오파마,163252
010120,LS ELECTRIC,1361871
064350,현대로템,2502996
069620,대웅제약,1027841
138930,BNK금융지주,4305377
010620,현대미포조선,3305557
002380,KCC,2471941
003000,부광약품,441149
004370,농심,1048732
047050,포스코인터내셔널,2301421
069960,현대백화점,1836191
042670,두산인프라코어,4885797
004800,효성,1087720
006650,대한유화,1115672
017800,현대엘리베이,473790
010780,아이에스동서,620175
000240,한국테크놀로지그룹,2033949
003520,영진약품,391079
004000,롯데정밀화학,1849558
111770,영원무역,731601
012450,한화에어로스페이스,1254743
051600,한전KPS,232840
011210,현대위아,1359754
001740,SK네트웍스,2231391
006120,SK디스커버리,868602
007570,일양약품,256817
214320,이노션,393399
016380,KG동부제철,720561
031430,신세계인터내셔날,707429
161890,한국콜마,104547
007700,F&F,902611
000670,영풍,1193998
001120,LG상사,1040622
004490,세방전지,1176341
005300,롯데칠성,737728
032350,롯데관광개발,375139
057050,현대홈쇼핑,735338
192820,코스맥스,48777
073240,금호타이어,1235545
093370,후성,116375
114090,GKL,297692
120110,코오롱인더,1190840
069260,휴켐스,788373
000150,두산,1055913
001680,대상,582310
001800,오리온홀딩스,147928
003240,태광산업,1820067
003850,보령제약,354360
014820,동원시스템즈,74782
020560,아시아나항공,1044246
079160,CJ CGV,126722
103140,풍산,1058485
005440,현대그린푸드,486302
000070,삼양홀딩스,596297
192400,쿠쿠홀딩스,139320
001230,동국제강,3369191
003230,삼양식품,599083
005610,SPC삼립,58282
012630,HDC,492646
020000,한섬,568747
049770,동원F&B,217913
052690,한전기술,209916
064960,S&T모티브,337562
071840,롯데하이마트,886000
079550,LIG넥스원,116090
105630,한세실업,109204
108670,LG하우시스,395185
145990,삼양사,551267
001060,JW중외제약,258186
002350,넥센타이어,441288
005180,빙그레,404681
115390,락앤락,498174
008350,남선알미늄,331597
009410,태영건설,936753
006390,한일현대시멘트,164339
