종목코드,종목명,자산
005930,삼성전자,260083750000000
000660,SK하이닉스,91800233000000
068270,셀트리온,5571483129934
207940,삼성바이오로직스,12165838879527
005380,현대차,83412349000000
051910,LG화학,32872824000000
017670,SK텔레콤,26432121000000
005490,POSCO,51149119209287
015760,한국전력,131023727000000
035420,NAVER,13903842854242
028260,삼성물산,39636329822007
012330,현대모비스,34782050000000
034730,SK,28451248000000
051900,LG생활건강,4707323719826
096770,SK이노베이션,19550742827000
018260,삼성에스디에스,7628899434228
006400,삼성SDI,18848886743159
033780,KT&G,10156905259022
000270,기아차,46715448000000
090430,아모레퍼시픽,5264930130274
003550,LG,9903973000000
010950,S-Oil,19573396000000
036570,엔씨소프트,4341399984062
066570,LG전자,28712814000000
251270,넷마블,7396298813707
011170,롯데케미칼,18458139122099
009540,현대중공업,11430169706000
035720,카카오,10791496254634
010130,고려아연,10091235344614
030200,KT,30417774000000
032640,LG유플러스,18621116000000
035250,강원랜드,4157624144369
034220,LG디스플레이,29259039000000
004990,롯데지주,9274644344054
000720,현대건설,13738416000000
004020,현대제철,34063791352307
023530,롯데쇼핑,24731773872879
002790,아모레G,2253119952895
018880,한온시스템,5018097517132
267250,현대중공업지주,8675571050000
021240,코웨이,3441901071064
128940,한미약품,1399293782986
097950,CJ제일제당,11450867716000
161390,한국타이어,6769107888360
008930,한미사이언스,744302842289
086280,현대글로비스,11586104723590
271560,오리온,1228500765566
078930,GS,6623315000000
010140,삼성중공업,14739373717623
036460,한국가스공사,59270172406545
012750,에스원,1985699161444
000120,CJ대한통운,7825113458175
042660,대우조선해양,12046830396329
000210,대림산업,3649116384846
006360,GS건설,12739404443091
282330,BGF리테일,2857090833991
028050,삼성엔지니어링,5165940384524
001040,CJ,3350173850000
009830,한화케미칼,17874844678636
002380,KCC,8803079613208
007070,GS리테일,7951326708929
241560,두산밥캣,3913397020000
003490,대한항공,28065730615101
003410,쌍용양회,3324252823811
047810,한국항공우주,7706665964482
008770,호텔신라,2328314732587
017800,현대엘리베이,2341218032723
011780,금호석유,4278839837980
004170,신세계,8345250727511
007310,오뚜기,2525971875194
030000,제일기획,1328473793570
010060,OCI,3776905634000
010620,현대미포조선,4780699254000
000100,유한양행,2274482334364
064350,현대로템,4676787304000
028670,팬오션,7391490000000
047040,대우건설,9668849512525
069620,대웅제약,1374022214364
047050,포스코대우,9190741219000
011070,LG이노텍,8668015354998
294870,HDC현대산업개발,7073844463959
069960,현대백화점,7747981793000
000150,두산,5012811344085
020150,일진머티리얼즈,835420293604
009420,한올바이오파마,213430248552
012450,한화에어로스페이스,8689560916441
111770,영원무역,1895028518492
026960,동서,1605210799684
006260,LS,5294493000000
006280,녹십자,1943161483761
161890,한국콜마,1158797342678
042670,두산인프라코어,3731593603137
009240,한샘,933305912509
000240,한국타이어월드와이드,2971233515086
003240,태광산업,3869038335421
004370,농심,2687384597157
120110,코오롱인더,4587842652742
051600,한전KPS,1555452523571
073240,금호타이어,2701310527870
114090,GKL,603504984992
010120,LS산전,2759774342491
000670,영풍,2473854374090
204320,만도,3606937062202
011790,SKC,3258252208307
005440,현대그린푸드,1810473906000
001740,SK네트웍스,5027336000000
214320,이노션,1090534673906
192820,코스맥스,860340317370
000080,하이트진로,3107792300335
003000,부광약품,420611783145
005250,녹십자홀딩스,1082659485830
115390,락앤락,567175879460
034020,두산중공업,13189540455245
049770,동원F&B,1442896840183
057050,현대홈쇼핑,1865948929474
005300,롯데칠성,3518184461815
001800,오리온홀딩스,1990027647401
003520,영진약품,203082817375
004000,롯데정밀화학,2511638063289
185750,종근당,1097011146278
006650,대한유화,2031237423745
012630,HDC,2459374384504
071840,롯데하이마트,2464219074235
005610,SPC삼립,988127993556
002350,넥센타이어,3128454464224
010780,아이에스동서,3153017075974
011210,현대위아,5655373000000
170900,동아에스티,1135143085866
020000,한섬,1687627808062
069260,휴켐스,941352875184
014680,한솔케미칼,969016967624
001060,JW중외제약,568816190792
001680,대상,2858930432106
027410,BGF,1513373775979
052690,한전기술,815532663360
285130,SK케미칼,1810477193480
079550,LIG넥스원,3007428048247
103140,풍산,3060678472051
105630,한세실업,1063253032264
192400,쿠쿠홀딩스,636802662812
079160,CJ CGV,1992652430122
000070,삼양홀딩스,2074325000000
000640,동아쏘시오홀딩스,966661711225
001230,동국제강,5717265305247
004800,효성,2982660265916
005180,빙그레,743539883717
093370,후성,554634238470
006840,AK홀딩스,874625982028
008060,대덕전자,523823895497
014820,동원시스템즈,1380267324924
093050,LF,1973686923199
005850,에스엘,1914532173596
001120,LG상사,3782850589463
001430,세아베스틸,1757749083909
145990,삼양사,2278458000000
019680,대교,594879015190
025860,남해화학,883470621211
003620,쌍용차,1978718199605
000990,DB하이텍,2120023184341
001520,동양,926206556683
002240,고려제강,1426860290613
002960,한국쉘석유,172340453951
003850,보령제약,870256642735
003920,남양유업,965477170913
108670,LG하우시스,2059455000000
006120,SK디스커버리,1663217506871
007570,일양약품,348763941701
025540,한국단자,1115216321206
060980,한라홀딩스,2035750369813
079430,현대리바트,848594087800
096760,JW홀딩스,407982954863
004490,세방전지,1482320425083
003300,한일홀딩스,989150497077
014830,유니드,1081099768468
298040,효성중공업,3486219179657
034120,SBS,1223425318064
064960,S&T모티브,1219422735354
033920,무학,597841141001
097230,한진중공업,2563983000000
036580,팜스코,933763592987
