일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2019/12/30","669.83","8.59","1.30","662.06","669.83","661.62","789329743","3799412603271","241350997492726"
"2019/12/27","661.24","9.17","1.41","652.60","661.59","652.17","807711662","4312635345158","238198875786701"
"2019/12/26","652.07","13.16","2.06","640.77","652.09","640.20","921877734","4352931501885","235647597350004"
"2019/12/24","638.91","-8.71","-1.34","648.71","648.71","638.74","763092114","3572405768036","231075710418008"
"2019/12/23","647.62","-2.11","-0.32","651.77","652.81","646.68","725861836","3968732238058","234058374740461"
"2019/12/20","649.73","1.88","0.29","650.19","651.20","647.90","944573044","4198107649046","234817288488122"
"2019/12/19","647.85","-1.10","-0.17","650.30","653.65","645.11","808153790","3734443972598","233553667866613"
"2019/12/18","648.95","-1.63","-0.25","650.87","651.71","647.73","882121524","4328545825601","233518136077077"
"2019/12/17","650.58","6.14","0.95","646.80","650.58","646.04","851063934","4486599257941","233969648834926"
"2019/12/16","644.44","0.99","0.15","644.91","646.56","643.24","794175485","3748611659928","231552540646795"
"2019/12/13","643.45","6.51","1.02","643.34","645.73","641.87","913750547","4290512961784","231121252745390"
"2019/12/12","636.94","7.81","1.24","632.29","638.92","631.25","941202174","4498908804218","228754293952703"
"2019/12/11","629.13","2.02","0.32","627.26","630.60","626.57","817888278","3952346344697","225900417038854"
"2019/12/10","627.11","-0.75","-0.12","627.62","627.76","623.54","763025394","3950678325328","225002396244804"
"2019/12/09","627.86","-0.24","-0.04","630.60","630.63","625.59","778729886","4226425976737","225159097723253"
"2019/12/06","628.10","10.50","1.70","619.48","628.11","619.48","726660329","4098402463336","225209549673349"
"2019/12/05","617.60","-7.67","-1.23","629.49","629.60","613.77","901705508","4682213345378","221358411691637"
"2019/12/04","625.27","-4.31","-0.68","626.06","630.45","622.67","928166942","3828566664827","224147875661267"
"2019/12/03","629.58","-4.92","-0.78","630.07","632.01","627.00","868945247","4117052572313","225664363880845"
"2019/12/02","634.50","1.51","0.24","635.58","638.35","632.22","845648626","3811687139821","227301561927990"
"2019/11/29","632.99","-7.19","-1.12","641.72","643.27","631.40","940624909","4319179702527","226930389499064"
"2019/11/28","640.18","-7.21","-1.11","646.27","649.37","640.18","882465675","4265274491306","228908690676662"
"2019/11/27","647.39","-4.20","-0.64","653.74","653.87","646.89","859365268","5153173452390","231384396667132"
"2019/11/26","651.59","4.19","0.65","650.79","653.54","649.78","868850404","5091667170718","232218230848022"
"2019/11/25","647.40","13.48","2.13","639.50","647.41","639.50","826788539","4086008502225","230500423530390"
"2019/11/22","633.92","-2.07","-0.33","637.99","640.77","629.74","1053044808","5162173373470","225644236961763"
"2019/11/21","635.99","-13.88","-2.14","650.56","651.23","634.29","1051934240","5025589607923","226030655427824"
"2019/11/20","649.87","-12.66","-1.91","661.45","663.76","648.82","1289204747","5928634361236","230847032261264"
"2019/11/19","662.53","-6.81","-1.02","669.11","669.24","662.24","1156557400","5280502776301","235179760942236"
"2019/11/18","669.34","0.83","0.12","670.07","671.09","666.82","1086953751","5401260327604","237591190482029"
"2019/11/15","668.51","5.20","0.78","662.87","668.54","660.64","1107075108","5124025379951","237163556746131"
"2019/11/14","663.31","1.46","0.22","663.25","666.05","659.21","1359616417","5251760314812","235158204574983"
"2019/11/13","661.85","-3.29","-0.49","665.37","665.48","659.95","1363966104","4829468954620","234500283907913"
"2019/11/12","665.14","3.77","0.57","662.11","665.86","661.42","1081150643","4618378952911","235619187912989"
"2019/11/11","661.37","-3.23","-0.49","666.13","666.13","658.70","922613294","4160073858555","234286919438724"
"2019/11/08","664.60","-1.55","-0.23","669.34","670.59","662.46","952988845","4475519931633","235295732464099"
"2019/11/07","666.15","-3.53","-0.53","668.73","669.57","663.70","1026100144","5679533394144","235693338116395"
"2019/11/06","669.68","-2.50","-0.37","672.12","673.86","669.25","1091285897","6061616775367","236277253693209"
"2019/11/05","672.18","3.73","0.56","669.47","672.18","666.00","987479965","6221553991449","237194145218387"
"2019/11/04","668.45","6.11","0.92","667.20","669.66","665.63","921194123","4731445508040","235777038270106"
