일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2025/12/30","4214.17","-6.39","-0.15","4193.75","4226.36","4186.95","408198125","13213491562311","3477839534742714"
"2025/12/29","4220.56","90.88","2.20","4146.48","4220.56","4146.48","502393980","14535157883542","3483297659265304"
"2025/12/26","4129.68","21.06","0.51","4130.37","4143.14","4116.53","510161651","16273592100742","3409552385683355"
"2025/12/24","4108.62","-8.70","-0.21","4136.24","4137.20","4106.62","363613812","12114977293960","3391545827207752"
"2025/12/23","4117.32","11.39","0.28","4127.40","4140.84","4110.25","385848331","13460733860454","3398648765464528"
"2025/12/22","4105.93","85.38","2.12","4096.26","4105.93","4083.13","315627058","13013701888375","3389012795126445"
"2025/12/19","4020.55","26.04","0.65","4055.78","4055.78","3997.05","442664473","16470368044849","3318795642740196"
"2025/12/18","3994.51","-61.90","-1.53","3989.60","4030.65","3975.50","581445413","13077588489472","3297132526737519"
"2025/12/17","4056.41","57.28","1.43","4019.43","4060.24","3994.65","360955505","12968279650414","3348121946855785"
"2025/12/16","3999.13","-91.46","-2.24","4093.32","4099.01","3996.23","373989521","16525587865207","3298788270153600"
"2025/12/15","4090.59","-76.57","-1.84","4053.74","4123.19","4052.65","346844575","15438300438426","3373508123630625"
"2025/12/12","4167.16","56.54","1.38","4123.83","4168.17","4120.73","426616335","16545774986825","3435670897662502"
"2025/12/11","4110.62","-24.38","-0.59","4163.32","4170.77","4103.20","539843372","20308402514420","3389085400995160"
"2025/12/10","4135.00","-8.55","-0.21","4159.05","4172.64","4123.60","317901549","12625782614479","3408198244933671"
"2025/12/09","4143.55","-11.30","-0.27","4129.77","4152.18","4121.21","400643400","13328759163343","3415203834522782"
"2025/12/08","4154.85","54.80","1.34","4109.25","4154.85","4081.26","395582936","15207838759256","3424712364436096"
"2025/12/05","4100.05","71.54","1.78","4023.50","4100.05","4003.29","478512573","16308814953657","3380661222188895"
"2025/12/04","4028.51","-7.79","-0.19","4018.91","4028.53","3982.54","352043273","13716192682125","3321694379554629"
"2025/12/03","4036.30","41.37","1.04","4010.26","4052.83","3987.76","290896486","13375747628074","3326804886983061"
"2025/12/02","3994.93","74.56","1.90","3939.09","3994.93","3935.14","319034908","12439175118986","3293510638975859"
"2025/12/01","3920.37","-6.22","-0.16","3967.92","3977.31","3892.08","296914679","11805572699555","3232050936063668"
"2025/11/28","3926.59","-60.32","-1.51","3995.30","3995.30","3921.89","241922807","11927326021478","3235761043400269"
"2025/11/27","3986.91","26.04","0.66","3989.45","4023.42","3968.43","257854943","13008961064052","3286294870613815"
"2025/11/26","3960.87","103.09","2.67","3891.88","3960.87","3866.66","295326951","15777742925834","3265922270499562"
"2025/11/25","3857.78","11.72","0.30","3942.36","3946.61","3833.35","279293988","13275808347538","3180590413000717"
"2025/11/24","3846.06","-7.20","-0.19","3915.16","3917.16","3838.20","373120108","21411253137675","3169272356467234"
"2025/11/21","3853.26","-151.59","-3.79","3908.70","3911.55","3838.46","319324121","14166906140808","3168593846191949"
"2025/11/20","4004.85","75.34","1.92","4030.97","4059.37","4001.31","360281733","15143579448126","3293299591248162"
"2025/11/19","3929.51","-24.11","-0.61","3966.64","3966.64","3854.95","338241537","14586911018135","3230586001015168"
"2025/11/18","3953.62","-135.63","-3.32","4044.47","4072.41","3953.26","319659628","14077477816697","3251067247971822"
"2025/11/17","4089.25","77.68","1.94","4078.57","4089.88","4045.40","344096599","14352976610800","3363116830407584"
"2025/11/14","4011.57","-159.06","-3.81","4061.91","4092.76","4011.40","399992380","17968602377429","3298648291977145"
"2025/11/13","4170.63","20.24","0.49","4127.57","4188.54","4123.84","424188608","17517048400982","3430213936916230"
"2025/11/12","4150.39","44.00","1.07","4097.44","4154.62","4088.86","334584453","15670659198860","3413518794879764"
"2025/11/11","4106.39","33.15","0.81","4124.30","4187.46","4066.58","377553974","20118818678387","3378037314926242"
"2025/11/10","4073.24","119.48","3.02","3991.87","4092.91","3984.24","339514007","16685675541574","3349850858814010"
"2025/11/07","3953.76","-72.69","-1.81","3963.72","4037.61","3887.32","377049668","18794295713216","3252007791121429"
"2025/11/06","4026.45","22.03","0.55","4092.46","4111.96","3985.29","423420832","21483948611420","3311622923440594"
"2025/11/05","4004.42","-117.32","-2.85","4055.47","4055.47","3867.81","594162840","29186234065822","3294411883299844"
"2025/11/04","4121.74","-100.13","-2.37","4219.24","4226.75","4117.91","423542560","20785686586392","3392104995408260"
"2025/11/03","4221.87","114.37","2.78","4123.36","4221.92","4123.36","472676323","22728714597138","3477046106115597"
"2025/10/31","4107.50","20.61","0.50","4083.25","4122.09","4059.74","408275232","22950424588062","3383447874399935"
"2025/10/30","4086.89","5.74","0.14","4105.95","4146.72","4070.79","566538268","24198286552685","3364689797640767"
"2025/10/29","4081.15","70.74","1.76","4061.54","4084.09","4014.84","466898421","22033182304082","3357610183598751"
"2025/10/28","4010.41","-32.42","-0.80","4010.47","4018.22","3972.56","408224732","19719872621077","3298578950794474"
"2025/10/27","4042.83","101.24","2.57","3999.79","4042.83","3999.79","516998547","20122806110920","3325893588152838"
"2025/10/24","3941.59","96.03","2.50","3893.23","3951.07","3886.64","426896560","17800793870343","3242987677820676"
"2025/10/23","3845.56","-38.12","-0.98","3835.79","3902.21","3822.33","423588471","16255705645739","3164799754839550"
"2025/10/22","3883.68","59.84","1.56","3827.23","3883.68","3794.52","597215988","15451168656133","3197177009086480"
"2025/10/21","3823.84","9.15","0.24","3851.01","3893.06","3816.19","526854280","19373490542844","3150160277294047"
"2025/10/20","3814.69","65.80","1.76","3775.40","3814.69","3728.38","410146751","14190573342156","3141020446206737"
"2025/10/17","3748.89","0.52","0.01","3732.76","3794.87","3722.07","420769792","17268693077595","3086895728948205"
"2025/10/16","3748.37","91.09","2.49","3675.82","3748.37","3675.82","495790790","17664818382797","3086315775634677"
"2025/10/15","3657.28","95.47","2.68","3580.64","3659.91","3577.06","543606716","13879932193738","3011908107364069"
"2025/10/14","3561.81","-22.74","-0.63","3604.12","3646.77","3535.52","734084905","18926398057017","2933878249069508"
"2025/10/13","3584.55","-26.05","-0.72","3550.08","3584.55","3522.54","408033131","14270855613049","2952828804530513"
"2025/10/10","3610.60","61.39","1.73","3598.11","3617.86","3569.44","407410846","19600845152565","2974646441764439"
"2025/10/02","3549.21","93.38","2.70","3525.48","3565.96","3512.16","402107231","19456116765360","2922226398313787"
"2025/10/01","3455.83","31.23","0.91","3444.06","3459.74","3440.42","493641155","12344643388616","2845543746980053"
"2025/09/30","3424.60","-6.61","-0.19","3436.00","3443.38","3421.89","526401520","11157443411281","2817769969229231"
"2025/09/29","3431.21","45.16","1.33","3414.43","3439.12","3413.33","416480046","10008858561135","2824950733618843"
"2025/09/26","3386.05","-85.06","-2.45","3440.39","3441.91","3365.73","399149806","12606212195076","2787520691990662"
"2025/09/25","3471.11","-1.03","-0.03","3458.98","3479.42","3454.08","293074983","12640781197188","2857634253445223"
"2025/09/24","3472.14","-14.05","-0.40","3492.03","3497.95","3442.41","287145415","11806998240931","2858429845707367"
"2025/09/23","3486.19","17.54","0.51","3489.46","3494.49","3467.83","358335419","12152383322121","2869842571401625"
"2025/09/22","3468.65","23.41","0.68","3463.84","3482.25","3458.87","287867235","11996187013111","2855488314793656"
"2025/09/19","3445.24","-16.06","-0.46","3461.23","3467.89","3434.61","348844702","15111282864331","2834490035669669"
"2025/09/18","3461.30","47.90","1.40","3432.77","3461.30","3422.77","391177053","12409116590064","2848188126349412"
"2025/09/17","3413.40","-36.22","-1.05","3433.83","3433.83","3406.75","326609906","11611597358894","2808274005979516"
"2025/09/16","3449.62","42.31","1.24","3421.13","3452.50","3418.10","406214278","14058944540679","2838180010916733"
"2025/09/15","3407.31","11.77","0.35","3407.78","3420.23","3391.33","378854245","12792738454649","2802795681701775"
"2025/09/12","3395.54","51.34","1.54","3374.65","3395.54","3362.86","448857492","13932277217565","2792432470702270"
"2025/09/11","3344.20","29.67","0.90","3336.60","3344.70","3311.86","435588829","14947009019240","2750487884332290"
"2025/09/10","3314.53","54.48","1.67","3272.20","3317.77","3272.07","564706848","13703544856383","2726778752216321"
"2025/09/09","3260.05","40.46","1.26","3231.31","3260.05","3221.98","439945501","10628640888119","2682471396020302"
"2025/09/08","3219.59","14.47","0.45","3209.81","3221.14","3206.34","372299882","8217818415298","2648880278485327"
"2025/09/05","3205.12","4.29","0.13","3208.83","3214.64","3196.19","323844686","10942042116464","2636841421046516"
"2025/09/04","3200.83","16.41","0.52","3188.84","3205.61","3185.49","286255881","7977947156742","2631602507638663"
"2025/09/03","3184.42","12.07","0.38","3177.75","3187.48","3167.23","335816449","8811868562778","2618478732744148"
"2025/09/02","3172.35","29.42","0.94","3155.73","3174.16","3151.93","310678131","8676467905841","2608214267274218"
"2025/09/01","3142.93","-43.08","-1.35","3164.58","3177.40","3135.02","260138455","8003230744765","2583440143168908"
"2025/08/29","3186.01","-10.31","-0.32","3208.80","3212.69","3184.48","245132452","8969307869056","2619011116578555"
"2025/08/28","3196.32","9.16","0.29","3175.33","3211.34","3164.08","312188158","9875760133000","2627849618885572"
"2025/08/27","3187.16","7.80","0.25","3185.87","3189.31","3165.77","281721035","8851872014319","2621003592123119"
"2025/08/26","3179.36","-30.50","-0.95","3199.92","3199.92","3175.31","325353201","12954910480221","2614613563218803"
"2025/08/25","3209.86","41.13","1.30","3195.14","3209.86","3180.12","220165003","8091673150742","2639930147123357"
"2025/08/22","3168.73","26.99","0.86","3165.41","3181.95","3159.45","236797098","8337524064582","2606520880531289"
"2025/08/21","3141.74","11.65","0.37","3140.71","3166.54","3134.86","276915481","10893275255572","2584834308775292"
"2025/08/20","3130.09","-21.47","-0.68","3121.52","3132.83","3079.27","335285191","11773562869622","2574971562273452"
"2025/08/19","3151.56","-25.72","-0.81","3185.04","3185.48","3142.48","285290653","8624169781604","2592063275359109"
"2025/08/18","3177.28","-48.38","-1.50","3202.63","3206.77","3177.28","326132755","8941932487220","2612867377572908"
