재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	165,596,005,097	184,693,378,058	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_SecuritiesAtFairValueThroughProfitOrLoss	         당기손익-공정가치 측정 금융자산	107,179,000,000	107,051,600,000	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00858364_udf_BS_202311913543885OfAssetsAbstract	         기타자산	506,416,301	1,086,120,014	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00858364_udf_BS_202391111717570OfAssetsAbstract	         대출채권 및 수취채권	173,778,563,348	107,174,230,574	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Assets	         자산총계	7,092,336,933,645	7,050,462,051,075	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	9,332,345,085	11,791,135,289	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         관계기업 및 공동기업 투자	6,623,937,230,740	6,623,937,230,740	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	10,759,883,486	13,266,668,488	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_RecognisedAssetsDefinedBenefitPlan	         순확정급여자산	1,247,489,588	1,461,687,912	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	            기타자본구성요소	-4,710,471,215	-5,490,755,089	
