재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	144,971,250,481	274,677,822,074	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Assets	         자산총계	12,108,361,501,235	11,232,068,800,034	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	         위험회피목적파생상품자산	45,772,895,705	62,464,550,609	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	350,402,534,482	297,794,835,525	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	8,174,329,610,824	7,316,999,322,877	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	3,096,180,225,773	2,980,421,367,388	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	28,171,824,885	29,934,908,451	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	201,176,131,481	201,370,466,385	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	41,189,717,174	41,344,220,681	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	26,167,310,430	27,061,306,044	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	dart_CapitalAdjustments	            자본조정	-104,207,937,500	-104,047,417,500	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	dart_CapitalSurplus	            자본잉여금	154,491,703,941	154,491,703,941	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	dart_HybridBonds	            신종자본증권	0	39,839,480,000	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_AccumulatedOtherComprehensiveIncome	            기타포괄손익누계액	-1,319,102,026,553	-1,086,039,268,811	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Equity	            자본총계	998,267,103,449	1,123,668,452,435	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IssuedCapital	            자본금	253,333,575,000	253,333,575,000	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	2,013,751,788,561	1,866,090,379,805	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	12,108,361,501,235	11,232,068,800,034	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	entity00168933_NonControllingInterestsLiabilitiesOfLiabilitiesAbstract	            비지배지분	36,224,040,195	67,814,546,249	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Borrowings	            차입부채	299,011,397,513	23,500,000,000	
