종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스","4970","80","1.64","1124","4.42",,,"7231","0.69","100","2.01"
"068400","AJ렌터카","11800","200","1.72","172","68.60",,,"11150","1.06","0","0.00"
"006840","AK홀딩스","34600","-250","-0.72","8224","4.21",,,"63797","0.54","750","2.17"
"027410","BGF","5600","0","0.00","575","9.74",,,"15719","0.36","35","0.63"
"282330","BGF리테일","169500","1000","0.59","8925","18.99",,,"30182","5.62","2680","1.58"
"138930","BNK금융지주","7660","40","0.52","1475","5.19",,,"23400","0.33","300","3.92"
"001460","BYC","236500","-500","-0.21","10891","21.72",,,"485043","0.49","1000","0.42"
"001465","BYC우","124000","500","0.40",,,,,,,"1050","0.85"
"001040","CJ","96600","200","0.21","9180","10.52",,,"121743","0.79","1450","1.50"
"079160","CJ CGV","34550","600","1.77",,,,,"5284","6.54","200","0.58"
"00104K","CJ4우(전환)","72400","700","0.98",,,,,,,"0","0.00"
"000120","CJ대한통운","155000","500","0.32","1996","77.66",,,"116702","1.33","0","0.00"
"011150","CJ씨푸드","2695","85","3.26","60","44.92",,,"1710","1.58","0","0.00"
"011155","CJ씨푸드1우","31200","-150","-0.48",,,,,,,"0","0.00"
"001045","CJ우","46250","-300","-0.64",,,,,,,"1500","3.24"
"097950","CJ제일제당","252500","2500","1.00","55416","4.56",,,"291963","0.86","3500","1.39"
"097955","CJ제일제당 우","109000","500","0.46",,,,,,,"3550","3.26"
"037560","CJ헬로","6050","50","0.83","512","11.82",,,"13677","0.44","75","1.24"
"000590","CS홀딩스","58500","500","0.86","5469","10.70",,,"189462","0.31","500","0.85"
"012030","DB","880","-2","-0.23",,,,,"684","1.29","0","0.00"
"016610","DB금융투자","4235","-15","-0.35","1312","3.23",,,"15495","0.27","250","5.90"
"005830","DB손해보험","52300","-500","-0.95","8413","6.22",,,"72003","0.73","2000","3.82"
"000990","DB하이텍","27600","-550","-1.95","2002","13.79",,,"12545","2.20","250","0.91"
"000995","DB하이텍1우","67500","-5600","-7.66",,,,,,,"300","0.44"
"139130","DGB금융지주","7120","-30","-0.42","2233","3.19",,,"25684","0.28","360","5.06"
"001530","DI동일","74100","100","0.14","14","5292.86",,,"195241","0.38","1500","2.02"
"004840","DRB동일","5260","-30","-0.57","307","17.13",,,"17183","0.31","110","2.09"
"155660","DSR","4590","-10","-0.22","494","9.29",,,"9127","0.50","50","1.09"
