종목코드,종목명,자본
005930,삼성전자,216404618
000660,SK하이닉스,52982394
035420,NAVER,7481034
207940,삼성바이오로직스,4760717
035720,카카오,7799502
006400,삼성SDI,12546175
005380,현대차,58758751
051910,LG화학,11454958
000270,기아,38299847
068270,셀트리온,1553671
012330,현대모비스,32091803
005490,POSCO,45156200
105560,KB금융,48658374
066570,LG전자,13284352
028260,삼성물산,20217785
096770,SK이노베이션,21620625
055550,신한지주,47527160
034730,SK,18246551
051900,LG생활건강,2475890
009150,삼성전기,5652109
352820,하이브,551484
015760,한국전력,54566946
036570,엔씨소프트,1725726
011200,HMM,3224304
003550,LG,15519085
017670,SK텔레콤,15083856
032830,삼성생명,29136364
086790,하나금융지주,34122105
018260,삼성에스디에스,5739159
003670,포스코케미칼,1647667
033780,KT&G,8216748
034020,두산중공업,9161022
251270,넷마블,4246715
003490,대한항공,8725249
090430,아모레퍼시픽,3081480
010130,고려아연,8533248
010950,S-Oil,7780923
000810,삼성화재,14499571
316140,우리금융지주,28019300
034220,LG디스플레이,14919095
011070,LG이노텍,4395320
030200,KT,17369611
024110,기업은행,29485754
011170,롯데케미칼,10330231
018880,한온시스템,1836217
009830,한화솔루션,4992932
011790,SKC,2923902
009540,한국조선해양,10144147
086280,현대글로비스,4256757
020150,일진머티리얼즈,1514590
032640,LG유플러스,8247104
097950,CJ제일제당,4557420
138040,메리츠금융지주,11792994
006800,미래에셋증권,6542246
004020,현대제철,17649281
021240,코웨이,1102549
035250,강원랜드,3811310
011780,금호석유,2733858
000720,현대건설,7856768
010140,삼성중공업,5870118
161390,한국타이어앤테크놀로지,7232118
028050,삼성엔지니어링,2290000
071050,한국금융지주,4636173
000100,유한양행,1341148
139480,이마트,8769269
267250,현대중공업지주,7313671
271560,오리온,1354964
180640,한진칼,1356876
241560,두산밥캣,5446872
016360,삼성증권,5492562
005940,NH투자증권,5893530
003410,쌍용C&E,2077410
005830,DB손해보험,7352308
078930,GS,9082478
002790,아모레G,2329312
008930,한미사이언스,460595
029780,삼성카드,6635555
036460,한국가스공사,10026217
128940,한미약품,546493
014680,한솔케미칼,699576
008560,메리츠증권,5485800
006360,GS건설,4459246
000990,DB하이텍,916982
047810,한국항공우주,1437758
336260,두산퓨얼셀,133774
052690,한전기술,2337194
007070,GS리테일,2609365
204320,만도,1626820
004990,롯데지주,5601404
008770,호텔신라,855127
026960,동서,1221621
272210,한화시스템,1534371
028670,팬오션,3109700
012750,에스원,1155613
010620,현대미포조선,3368614
112610,씨에스윈드,292882
039490,키움증권,1948256
002380,KCC,5955826
000120,CJ대한통운,2281234
047050,포스코인터내셔널,4694529
298050,효성첨단소재,1296140
138930,BNK금융지주,12444800
285130,SK케미칼,362638
030000,제일기획,1051477
001040,CJ,3333373
004170,신세계,4167793
006280,녹십자,563643
010060,OCI,2952780
012450,한화에어로스페이스,4119051
023530,롯데쇼핑,9136219
042660,대우조선해양,3170577
047040,대우건설,2854932
088350,한화생명,14994918
282330,BGF리테일,668832
000880,한화,3736038
298020,효성티앤씨,1205734
064350,현대로템,1282576
000080,하이트진로,961149
001450,현대해상,4559400
093370,후성,416190
011210,현대위아,4623164
081660,휠라홀딩스,1017742
009240,한샘,526387
000150,두산,2708074
004000,롯데정밀화학,2036842
120110,코오롱인더,3198531
004800,효성,3023373
111770,영원무역,2544995
004370,농심,2039285
003090,대웅,387405
006260,LS,2386329
007310,오뚜기,1027253
010120,LS ELECTRIC,1204317
019170,신풍제약,51628
051600,한전KPS,1376786
069620,대웅제약,465982
069960,현대백화점,4506469
017800,현대엘리베이,972015
000240,한국앤컴퍼니,3548769
001230,동국제강,3612812
001440,대한전선,384011
005850,에스엘,2593003
294870,HDC현대산업개발,2744142
014820,동원시스템즈,732572
020560,아시아나항공,1250618
079550,LIG넥스원,1423774
009900,명신산업,77305
000210,DL,2363357
001740,SK네트웍스,2224825
005250,녹십자홀딩스,504670
185750,종근당,232289
010780,아이에스동서,911332
042670,현대두산인프라코어,1888969
073240,금호타이어,1539849
005300,롯데칠성,1588117
000670,영풍,4021787
003240,태광산업,4147414
004490,세방전지,1155000
006650,대한유화,1416071
192080,더블유게임즈,625814
013890,지누스,311564
016380,KG동부제철,809232
032350,롯데관광개발,352402
009420,한올바이오파마,78829
001120,LX인터내셔널,1250246
284740,쿠쿠홈시스,435417
003000,부광약품,146440
003520,영진약품,76181
003850,보령제약,308577
006120,SK디스커버리,1104195
020000,한섬,1234969
031430,신세계인터내셔날,538275
069260,휴켐스,587788
079160,CJ CGV,438126
103140,풍산,1531502
105630,한세실업,498864
161890,한국콜마,372861
192820,코스맥스,340875
241590,화승엔터프라이즈,413206
001800,오리온홀딩스,2323707
000070,삼양홀딩스,1789385
001680,대상,868063
002350,넥센타이어,1624622
005440,현대그린푸드,1674654
192400,쿠쿠홀딩스,648587
049770,동원F&B,743168
057050,현대홈쇼핑,1358571
064960,SNT모티브,702060
114090,GKL,459549
006040,동원산업,1056741
